AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
UA,IAH,SFO,-19.0
HA,OGG,KOA,1.0
UA,IAH,LAX,-13.0
EV,EWR,JAX,2.0
MQ,AZO,ORD,-22.0
EV,CLE,IAH,28.0
OO,PHX,PSP,-1.0
UA,SFO,SEA,-12.0
AA,DEN,DFW,-20.0
DL,ABQ,MSP,-26.0
DL,ATL,TPA,-2.0
EV,MEI,PIB,-18.0
DL,MSP,SFO,7.0
DL,PNS,ATL,-23.0
EV,MSP,ORD,3.0
HA,OGG,HNL,6.0
MQ,FWA,DFW,4.0
MQ,LSE,ORD,-16.0
OO,PHX,MRY,7.0
OO,SEA,FAT,-16.0
OO,MSP,RAP,8.0
OO,IAH,ASE,-11.0
UA,HDN,IAH,-1.0
UA,EWR,MIA,-18.0
UA,MCO,EWR,-27.0
UA,IAH,ORD,-18.0
UA,TUS,DEN,-12.0
VX,LAX,SEA,21.0
WN,DAL,BNA,-16.0
WN,DAL,DCA,1.0
WN,ALB,LAS,-7.0
WN,BWI,DEN,-1.0
WN,BWI,MCO,6.0
WN,BWI,PVD,11.0
WN,CLE,BWI,4.0
WN,TPA,MDW,39.0
WN,FLL,STL,-16.0
WN,HOU,DEN,-3.0
WN,HOU,MCO,8.0
WN,LAS,SFO,27.0
WN,LAX,LAS,47.0
WN,LBB,LAS,9.0
WN,MCO,PVD,43.0
WN,MDW,DAL,25.0
AA,LAX,ORD,-21.0
AA,PHX,ORD,-28.0
AA,SJU,DFW,-11.0
AA,PSP,DFW,-16.0
AA,CLT,DFW,14.0
AA,PBI,DCA,-25.0
AA,ALB,CLT,-3.0
AA,CLT,MSY,-10.0
B6,PBI,EWR,1.0
B6,DCA,RSW,41.0
AS,SFO,PSP,-16.0
AS,SAN,SEA,-5.0
AS,OGG,SEA,-39.0
DL,ECP,ATL,13.0
UA,EWR,ORD,72.0
UA,EWR,PBI,-20.0
NK,CLE,TPA,45.0
OO,ASE,IAH,34.0
UA,IAH,SNA,-24.0
B6,JFK,TPA,10.0
HA,ITO,HNL,-3.0
MQ,GRR,DFW,44.0
HA,OGG,LIH,10.0
OO,IAH,DFW,-17.0
AA,DSM,DFW,-13.0
DL,LGA,MIA,-16.0
EV,VPS,ATL,8.0
MQ,EVV,ORD,4.0
NK,IAH,TPA,2.0
OO,RDM,SFO,-15.0
UA,MEM,ORD,31.0
AA,MCO,DFW,-15.0
AA,TPA,DCA,-18.0
AA,OKC,DFW,-11.0
B6,PHL,BOS,-24.0
AA,RDU,ORD,1.0
DL,LAX,HNL,-17.0
DL,PHX,ATL,0.0
DL,ATL,CVG,-12.0
EV,MFE,DFW,-26.0
DL,IAD,ATL,-14.0
DL,FLL,LGA,-26.0
DL,MSP,SEA,-2.0
DL,CLE,ATL,-21.0
EV,JLN,DFW,-13.0
EV,IAH,OMA,-23.0
EV,FSD,ORD,28.0
EV,ISN,IAH,-24.0
F9,LAS,DEN,12.0
F9,TTN,ATL,-2.0
NK,DTW,ATL,-9.0
OO,PHX,FLG,18.0
OO,PHX,YUM,-3.0
OO,RDU,IAH,49.0
OO,DTW,IAH,6.0
MQ,DAY,ORD,-2.0
UA,EWR,MCO,-14.0
WN,DAL,BWI,10.0
WN,DAL,LAS,18.0
WN,ABQ,PHX,17.0
WN,BOS,DAL,16.0
WN,BWI,DAL,71.0
WN,BWI,HOU,8.0
WN,BWI,SAN,8.0
WN,SMF,LAS,43.0
WN,LAS,BUR,72.0
WN,LAS,LAX,48.0
WN,LAS,SEA,8.0
WN,MDW,ALB,-7.0
WN,MDW,AUS,14.0
WN,MDW,LAX,2.0
WN,MDW,STL,4.0
WN,PHX,DEN,28.0
WN,SAN,OAK,20.0
WN,SAN,SMF,-10.0
WN,SEA,OAK,13.0
WN,SLC,OAK,1.0
AA,EGE,ORD,-23.0
AA,DFW,CLE,-8.0
AA,PHX,SLC,-4.0
AA,DEN,PHX,17.0
AA,CLT,STL,-15.0
AA,LGA,CLT,5.0
AA,CLT,TPA,-7.0
AA,CLT,DTW,-11.0
AA,RDU,CLT,25.0
B6,AUS,JFK,490.0
B6,LAX,JFK,-33.0
AA,DEN,MIA,11.0
AS,ANC,SEA,14.0
AS,SMF,SEA,-5.0
AS,SEA,ONT,-6.0
AS,TUS,SEA,-31.0
